2025-12-09 11:44:52 | GET parameters received | {"cid":"1","clickid":"${SUBID}","campaignid":"{campaignid}","country":"{country}","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 11:44:52 | Mapped campaign country code | "us"
2025-12-09 11:44:52 | Visitor country mismatch | {"visitor":"{country}","campaign":"us","allowed":["us"]}
2025-12-09 11:45:04 | GET parameters received | {"cid":"1","clickid":"${SUBID}","campaignid":"{campaignid}","country":"us","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 11:45:04 | Mapped campaign country code | "us"
2025-12-09 11:45:04 | Visitor country code matched | {"visitor":"us"}
2025-12-09 11:45:04 | All offers capped | 1
2025-12-09 11:45:04 | DB error fetching campaign external ids | "SQLSTATE[42S22]: Column not found: 1054 Unknown column 'traffic_source_id' in 'SELECT'"
2025-12-09 12:09:28 | GET parameters received | {"cid":"1","clickid":"${SUBID}","campaignid":"{campaignid}","country":"us","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 12:09:28 | Mapped campaign country code | "us"
2025-12-09 12:09:28 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:09:28 | All offers capped | 1
2025-12-09 12:09:28 | DB error fetching campaign external ids | "SQLSTATE[42S22]: Column not found: 1054 Unknown column 'traffic_source_id' in 'SELECT'"
2025-12-09 12:13:05 | GET parameters received | {"cid":"1","clickid":"${SUBID}","campaignid":"{campaignid}","country":"us","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 12:13:05 | Mapped campaign country code | "us"
2025-12-09 12:13:05 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:13:05 | All offers capped | 1
2025-12-09 12:13:05 | Skipping stop: missing traffic source or external campaign ID | {"traffic_source_id":0,"external_campaign_id":"10194669"}
2025-12-09 12:13:58 | GET parameters received | {"cid":"1","clickid":"12512vsv3","campaignid":"10195506","country":"us","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 12:13:59 | Mapped campaign country code | "us"
2025-12-09 12:13:59 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:13:59 | All offers capped | 1
2025-12-09 12:13:59 | Skipping stop: missing traffic source or external campaign ID | {"traffic_source_id":0,"external_campaign_id":"10194669"}
2025-12-09 12:15:41 | GET parameters received | {"cid":"1","clickid":"Test123","campaignid":"10195506","country":"us","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 12:15:41 | Mapped campaign country code | "us"
2025-12-09 12:15:41 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:15:41 | All offers capped | 1
2025-12-09 12:15:41 | Traffic source campaign pause attempt | {"traffic_source_id":1,"external_campaign_id":[10194669],"result":false}
2025-12-09 12:15:41 | Stop request returned failure or partial failure | false
2025-12-09 12:22:45 | GET parameters received | {"cid":"1","clickid":"${SUBID}","campaignid":"{campaignid}","country":"us","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 12:22:45 | Mapped campaign country code | "us"
2025-12-09 12:22:45 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:22:45 | Offer selected and view incremented | {"offer_id":3,"cap":65,"current_views":61,"offer_name":"bambulab.com OP US","affiliate_link":"https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com","country":"US","affiliate_program_id":1,"website_id":1,"fill_percent":0.9384615384615385}
2025-12-09 12:22:45 | Buffer selected | {"id":1,"buffer_url":"t.co/hRM2vNRhdZ"}
2025-12-09 12:22:45 | Affiliate URL generated | "https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com&publisherId=cid693814957c5b44.57448141"
2025-12-09 12:22:45 | Click logged | "cid693814957c5b44.57448141"
2025-12-09 12:22:45 | Redirecting to affiliate URL | "https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com&publisherId=cid693814957c5b44.57448141"
2025-12-09 12:22:59 | GET parameters received | {"cid":"1","clickid":"${SUBID}","campaignid":"10194669","country":"us","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 12:22:59 | Mapped campaign country code | "us"
2025-12-09 12:22:59 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:22:59 | Offer selected and view incremented | {"offer_id":3,"cap":65,"current_views":62,"offer_name":"bambulab.com OP US","affiliate_link":"https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com","country":"US","affiliate_program_id":1,"website_id":1,"fill_percent":0.9538461538461539}
2025-12-09 12:22:59 | Buffer selected | {"id":1,"buffer_url":"t.co/hRM2vNRhdZ"}
